"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"CC";"CP";"IMI"
"461";"25001019038P8";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"6";0,365079365079365;0,474833635813672;0,457142857142857;0,432351952678631
"462";"25001019039P4";"MEDICINA I";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"3";0,536231884057971;0,524086378737541;0,485069444444444;0,515129235746652
"463";"25001019040P2";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"5";0,357142857142857;0,472695035460993;0,372072072072072;0,400636654891974
"464";"25001019041P9";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"5";0,333333333333333;0,480957767722474;0,439814814814815;0,418035305290207
"465";"25001019043P1";"MEDICINA II";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";0,560606060606061;0,509090909090909;0,543103448275862;0,537600139324277
"466";"25001019044P8";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";0,425925925925926;0,485247208931419;0,459848484848485;0,45700720656861
"467";"25001019045P4";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";0,537634408602151;0,499107142857143;0,505284552845528;0,514008701434941
"468";"25001019046P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";0,444444444444444;0,487831895822763;0,444791666666667;0,459022668977958
"469";"25001019048P3";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"5";0,385964912280702;0,549145299145299;0,482608695652174;0,472572969026058
"470";"25001019050P8";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";0,43859649122807;0,502314814814815;0,301736111111111;0,414215805717999
"471";"25001019052P0";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";0,733333333333333;0,605263157894737;0,601282051282051;0,646626180836707
"472";"25001019053P7";"MATERIAIS";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";0,272727272727273;0,486344537815126;0,473886328725038;0,410986046422479
"473";"25001019054P3";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";0,543859649122807;0,590909090909091;0,5;0,544922913343966
"474";"25001019057P2";"ARQUITETURA, URBANISMO E DESIGN";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";0,650793650793651;0,655714285714286;0,484;0,596835978835979
"475";"25001019058P9";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";0,431372549019608;0,494390243902439;0,442156862745098;0,455973218555715
"476";"25001019059P5";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";0,564102564102564;0,509178743961353;0,417156862745098;0,496812723603005
"477";"25001019060P3";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";0,711111111111111;0,524193548387097;0,434649122807018;0,556651260768408
"478";"25001019061P0";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,69047619047619;0,535353535353535;0,427083333333333;0,55097101972102
"479";"25001019062P6";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2006;"PROFISSIONAL";"3";0,276190476190476;0,537037037037037;0,386434108527132;0,399887207251548
"480";"25001019066P1";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,512820512820513;0,545138888888889;0,45462962962963;0,504196343779677
"481";"25001019068P4";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";0,596491228070175;0,615384615384615;0,455833333333333;0,555903058929375
