"";"CD_PROGRAMA_IES";"SPPAP"
"821";"33003025003P0";1
"822";"33003033003P6";10
"823";"33003033004P2";10
"824";"33003033008P8";1
"825";"33004021073P5";3
"826";"33004021075P8";1
"827";"33004030055P6";5
"828";"33004030072P8";44
"829";"33004030077P0";20
"830";"33004030078P6";24
"831";"33004030081P7";14
"832";"33004030082P3";1
"833";"33004048023P9";5
"834";"33004056080P8";2
"835";"33004056082P0";6
"836";"33004056083P7";7
"837";"33004056087P2";1
"838";"33004056089P5";1
"839";"33004064006P8";2
"840";"33004064021P7";1
"841";"33004064025P2";2
"842";"33004064034P1";2
"843";"33004064038P7";1
"844";"33004064048P2";2
"845";"33004064065P4";5
"846";"33004064079P5";7
"847";"33004064080P3";3
"848";"33004064086P1";1
"849";"33004064087P8";2
"850";"33004064088P4";1
"851";"33004064089P0";2
"852";"33004080027P6";6
"853";"33004080051P4";1
"854";"33004099083P9";4
"855";"33004102001P4";2
"856";"33004102049P7";2
"857";"33004102069P8";9
"858";"33004102070P6";3
"859";"33004102072P9";1
"860";"33004102073P5";2
"861";"33004137003P3";2
"862";"33004137046P4";4
"863";"33004137063P6";2
"864";"33004145070P8";3
"865";"33004145082P6";1
"866";"33004153068P9";9
"867";"33004153074P9";11
"868";"33004153077P8";4
"869";"33004161001P7";4
"870";"33004170001P6";7
"871";"33005010005P4";1
"872";"33005010018P9";1
"873";"33005010021P0";1
"874";"33007012004P7";1
"875";"33008019005P0";1
"876";"33008019006P6";7
"877";"33008019007P2";3
"878";"33009015002P7";1
"879";"33009015016P8";1
"880";"33009015018P0";3
"881";"33009015021P1";2
"882";"33009015031P7";1
"883";"33009015032P3";1
"884";"33009015033P0";1
"885";"33009015034P6";4
"886";"33009015070P2";1
"887";"33009015071P9";5
"888";"33009015075P4";4
"889";"33009015080P8";3
"890";"33009015085P0";1
"891";"33009015087P2";2
"892";"33009015088P9";1
"893";"33009015091P0";2
"894";"33009015094P9";1
"895";"33009015170P7";1
"896";"33010013009P6";22
