"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"153";"15001016158P5";NA;NA;NA;NA;NA;NA;24;26;0,923076923076923;0,923076923076923
"154";"15001016159P1";NA;NA;NA;NA;NA;NA;22;39;0,564102564102564;0,564102564102564
"155";"15001016160P0";NA;NA;NA;NA;NA;NA;8;16;0,5;0,5
"156";"15002012001P5";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";14;49;0,285714285714286;0,285714285714286
"157";"15002012005P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";26;38;0,684210526315789;0,684210526315789
"158";"15002012006P7";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";6;40;0,15;0,15
"159";"15002012007P3";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";14;17;0,823529411764706;0,823529411764706
"160";"15002012008P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";7;50;0,14;0,14
"161";"15002012009P6";NA;NA;NA;NA;NA;NA;13;14;0,928571428571429;0,928571428571429
"162";"15004015004P7";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";12;12;1;1
"163";"15004015005P3";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"4";30;69;0,434782608695652;0,434782608695652
"164";"15004015006P0";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"3";14;27;0,518518518518518;0,518518518518518
"165";"15004015007P6";"DIREITO";"PARTICULAR";"PRIVADA";2014;"ACADÊMICO";"3";25;76;0,328947368421053;0,328947368421053
"166";"15006018001P0";"EDUCAÇÃO";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"3";29;90;0,322222222222222;0,322222222222222
"167";"15006018002P7";"CIÊNCIAS BIOLÓGICAS III";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"4";18;49;0,36734693877551;0,36734693877551
"168";"15006018004P0";"TEOLOGIA";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";30;52;0,576923076923077;0,576923076923077
"169";"15006018005P6";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";30;35;0,857142857142857;0,857142857142857
"170";"15006018006P2";"ENSINO";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";22;56;0,392857142857143;0,392857142857143
